vulnerable	傷つきやすい／もろい／弱い立場の
inflict	（苦痛・損害などを）与える／負わせる
blockade	封鎖／封鎖する
clutch	ぎゅっとつかむ／しっかり握る
refuge	避難所／保護
demote	降格させる／格下げする
fragrant	よい香りの／芳香のある
mingle	混ざる／人と打ち解けて交わる
temperament	気質／気性
stubborn	頑固な／しつこい
unfold	広げる／展開する／明らかになる
formulate	明確に述べる／立案する・まとめる
contemporary	現代の／同時代の／同時代の人
redundant	余分な／冗長な／（英）解雇された
obstruct	妨害する／ふさぐ
guardian	保護者／後見人
token	しるし／象徴／（小額の）商品券・トークン
omit	省く／抜かす
conclusive	決定的な／最終的な
obedient	従順な／言うことをよく聞く
sacred	神聖な／かけがえのない
testify	証言する／証明する
affluent	裕福な／豊かな
transparent	透明な／見え透いた・明白な
ration	一定量に配給する／配給量
cozy	居心地のよい／こぢんまりした
brutal	残酷な／ひどく厳しい
inventive	創意に富んだ／発明好きの
sober	しらふの／真面目な・冷静な
privilege	特権／特典
trespass	不法侵入する／侵害する
procession	行列／進行
vain	うぬぼれの強い／むなしい・無駄な
confer	授与する／協議する
deceive	だます／欺く
allegation	申し立て／主張（特に根拠の薄い）
affiliate	提携させる／系列会社・支部
prolong	延長する／長引かせる
overhaul	徹底的に見直す・整備する／総点検
deduct	差し引く／控除する
feasible	実行可能な／実現できる
mercy	慈悲／情け／容赦
oppress	抑圧する／圧迫する
entrust	任せる／委ねる
sturdy	頑丈な／たくましい
cynical	冷笑的な／皮肉な・ひねくれた
conspire	共謀する／陰謀を企てる
exert	働かせる／行使する／努力を尽くす
grumble	不平を言う／ぶつぶつ文句を言う
prosecute	起訴する／訴追する
delegate	代表者／代理人／委任する
tremble	震える／おびえる
earnest	まじめな／真剣な
generate	生み出す／発生させる
threaten	脅す／〜のおそれがある
boost	押し上げる／増加させる／後押し
donate	寄付する／提供する
evolve	進化する／発展させる
interact	相互作用する／交流する
predator	捕食動物／略奪者
capacity	容量／能力／収容人数
mainstream	主流（の）
accommodate	収容する／（人の希望などに）応じる・便宜を図る
expertise	専門知識／専門技術
graze	草を食べる／草を食べさせる／（皮膚を）かすり傷にする
erupt	噴火する／勃発する
withstand	耐える／持ちこたえる
fascination	魅了／強い関心・魅力
classify	分類する／機密扱いにする
alternate	交互の／代わりの／交替する
fundamental	基本的な／根本的な／基本
venue	会場／開催地
optional	任意の／選択の
validity	有効性／妥当性
leak	漏れる／漏らす／漏れ
considerate	思いやりのある／気配りのできる
outweigh	〜より重い／〜より重要・有利である
wholesale	卸売り（の）／大規模な
withdraw	引き出す／撤退する／取り下げる
dock	波止場／埠頭／ドックに入れる
deceased	亡くなった／故人
recruitment	募集／採用活動
adaptation	適応／脚色・翻案
prime	最も重要な／最良の／準備させる
faculty	（大学の）学部／教職員／能力
objective	目的／目標／客観的な
artifact	人工遺物／工芸品／人工物
verbal	言葉の／口頭の
endeavor	努力／試み／努力する
devoted	献身的な／熱心な
diploma	卒業証書／学位・資格証書
dictate	書き取らせる／命令する／決定づける
compensate	補償する／埋め合わせる
urgency	緊急性／切迫感
sneak	こそこそ行く／盗む／こそこそした人
heap	山／山積み／積み上げる
ethical	倫理的な／道徳上の
consensus	総意／合意
sentimental	感傷的な／情にもろい
apparent	明らかな／見かけ上の
subsidize	補助金を与える／助成する
captive	捕らわれの／捕虜・捕獲されたもの
applaud	拍手する／称賛する
forthcoming	今度の／来たる／率直な
trigger	引き金／きっかけ／引き起こす
deficit	赤字／不足
stain	汚れ／染み／汚す・染める
oversight	見落とし／監督
defendant	被告
fragment	破片／断片／砕ける
disastrous	壊滅的な／悲惨な
invoice	請求書
elevate	持ち上げる／昇格させる／高める
irrigate	灌漑する／水を引く
nuisance	迷惑な人・物／厄介者
dejected	落胆した／意気消沈した
consecutive	連続した／連続の
wretched	みじめな／ひどく不快な
distort	歪める／ねじ曲げる
verify	確認する／検証する
punctuality	時間厳守／時間に正確なこと
courtesy	礼儀正しさ／丁寧さ／好意
foe	敵／仇
crooked	曲がった／不正直な
famine	飢饉／極度の食糧不足
waver	揺らぐ／迷う
indebted	恩義がある／借金がある
indifferent	無関心な／どうでもよいと思っている
gracious	親切な／上品な・優雅な
unwarranted	不当な／根拠のない
refrain	（〜を）差し控える／控える
foresight	先見の明／洞察力
consolidate	統合する／強化する・固める
botanical	植物の／植物学の
axis	軸／中心線
inscription	銘文／刻まれた文字
minute	非常に小さい・細かい／分
archive	公文書保管所／アーカイブ・記録
ascent	上昇／登り／登山
abruptly	突然に／不意に
proficient	熟達した／堪能な
dispense	分配する／（withと）〜なしで済ます
eloquent	雄弁な／説得力のある
vandalize	器物を故意に破損する・落書きする
mediocre	平凡な／並みの
outgoing	社交的な／外向的な／退任する
plunge	突っ込む／急落する／飛び込み
stern	厳しい／いかめしい
insistent	しつこく主張する／強く求める
frailty	弱さ／もろさ／欠点
outsmart	出し抜く／〜より賢く立ち回る
casualty	死傷者／（事故・戦争の）犠牲者
narrative	物語／話／物語的な
bewilder	当惑させる／混乱させる
void	空（から）の／無効の／空虚／欠如
hinder	妨げる／阻む
perpetual	絶え間ない／永続する
phobia	恐怖症／強い嫌悪
sibling	きょうだい
orphan	孤児／孤児にする
elaborate	手の込んだ／念入りな／詳しく述べる
autograph	サイン／自筆／サインする
envelop	包む／包み込む
prevail	普及する／勝る・打ち勝つ
gratuity	心づけ／チップ／退職金
startle	びっくりさせる／驚かす
outcast	のけ者／追放された人
stagger	よろめく／ぐらつかせる／愕然とさせる
resolute	断固とした／固い決意の
dread	ひどく恐れる／恐怖・不安
fabricate	でっち上げる／製造する
compression	圧縮／圧迫
hysterical	ヒステリックな／我を忘れたような
buzz	ブンブンいう音／うわさ話／ざわめき
chatter	ぺちゃくちゃしゃべる／おしゃべり
dodge	素早く避ける／ごまかす／回避
tickle	くすぐる／（興味などを）そそる
integral	不可欠な／完全な
adverse	不利な／好ましくない／逆の
dismal	陰鬱な／お粗末な・ひどい
contagious	伝染性の／感染しやすい／（感情などが）うつりやすい
fusion	融合／合体
exile	追放／亡命者／追放する
clerical	事務の／聖職者の
nurture	育てる／養育する／育成
finite	有限の
simultaneous	同時の／同時に起こる
charitable	慈善の／寛大な
strive	努力する／奮闘する
materialistic	物質主義の／拝金主義の
humidity	湿度／湿気
touchy	神経質な／怒りっぽい／デリケートな
apprentice	見習い／徒弟
eccentric	風変わりな／奇妙な／変わり者
reputable	評判の良い／信頼できる
pious	敬虔な／信心深い／もっともらしい
scrub	ごしごし洗う／こする
shatter	粉々にする／打ち砕く
detach	切り離す／分離する
underlying	根本的な／根底にある／下にある
treacherous	裏切りの／危険な・油断ならない
instill	徐々に教え込む／染み込ませる
growl	うなる／うなり声をあげる
entangle	もつれさせる／巻き込む
convince	納得させる／確信させる
habitat	生息地／生育環境
ensure	保証する／確実にする
adopt	採用する／養子にする
emission	放出／排出（物）
ingredient	材料／成分
excessive	過度の／行き過ぎた
drawback	欠点／不利な点／障害
abandon	見捨てる／放棄する
drought	干ばつ／ひどい水不足
remote	遠く離れた／へんぴな／（可能性が）わずかな
inquiry	問い合わせ／調査・取り調べ
endangered	絶滅の危機にある／絶滅危惧の
combat	戦闘／闘い／戦う・防ぐ
resistant	抵抗力のある／〜に強い
conservation	保護／保存（環境・資源などの）
infectious	伝染性の／感染力のある
controversial	物議をかもす／論争の的となる
resort	行楽地・保養地／（to〜で）〜に訴える・頼る
transform	変形させる／一変させる
brochure	パンフレット／小冊子
subscription	購読（料）／会費・加入
hazardous	危険な／有害な
inaccurate	不正確な／間違いのある
hostile	敵意のある／敵対的な
frustrated	欲求不満の／いら立った
underrate	過小評価する／軽く見る
merge	合併する／一つになる・させる
distract	気をそらす／注意を散らす
browse	ざっと目を通す／（ネットなどを）閲覧する
circulation	循環／発行部数／流通
admission	入場（料）／入学・入会／認めること
digestion	消化／理解
alteration	変更／改変
violation	違反／侵害
suspend	一時停止する／停職・停学にする／吊るす
transaction	取引／売買
coverage	（報道の）取材・報道範囲／（保険の）補償範囲
incentive	動機付け／奨励金・報奨
diagnose	診断する
hesitant	ためらっている／躊躇している
downturn	後退／不況・落ち込み
evacuate	避難させる／退避する
assert	主張する／断言する
hygiene	衛生（状態）
breakthrough	大きな進歩／飛躍的発見・突破口
epidemic	流行病／（望ましくないものの）流行
accusation	非難／告発・罪状
spoil	台無しにする／（子どもを）甘やかす／腐る
consultation	相談／診察／協議
immigrate	移住してくる／移民として入る
exhaust	疲れ果てさせる／使い尽くす
upbringing	育ち方／しつけ・養育
neglect	怠る／無視する／放置
prescribe	処方する／指示する・規定する
informative	有益な情報を与える／ためになる
unearth	掘り出す／発掘する／明るみに出す
prospect	見込み／可能性／展望
stem	茎／（from〜で）〜から生じる／食い止める
obligation	義務／責任
divert	そらす／迂回させる／気分転換させる
sustain	維持する／支える／被る（損害など）
residential	住宅の／居住用の
reign	統治する／支配する／在位期間
dilemma	ジレンマ／板挟みの状態
overstate	誇張して言う／大げさに言う
irritate	いらだたせる／刺激する
alliance	同盟／提携
compliment	ほめ言葉／賛辞／ほめる
narrowly	かろうじて／間一髪で／狭く
disrupt	混乱させる／中断させる
prosper	繁栄する／成功する
irrational	非合理的な／理性を欠いた
devastate	壊滅させる／打ちのめす
virtually	ほとんど／事実上
mobility	移動性／流動性／機動性
modify	修正する／緩和する
quota	割り当て／ノルマ
exotic	異国風の／エキゾチックな
preservative	保存料／防腐剤
oversee	監督する／見張る
disturbance	妨害／騒ぎ／乱れ
competent	有能な／能力のある
substitute	代わりのもの・人／代用する
distinguish	区別する／見分ける／際立たせる
attribute	〜のせいにする／〜に帰する／特質・属性
passionate	情熱的な／熱烈な
doom	運命づける（多くは悪い運命）／破滅・悲運
precedent	前例／先例
misleading	紛らわしい／誤解を招く
literally	文字通りに／本当に
patent	特許／特許権／明白な
fatigue	疲労／疲れさせる
convey	伝える／運ぶ
intentionally	意図的に／わざと
migration	移住／移動（鳥などの渡りも含む）
perch	（鳥などが）とまる／高い所に腰を下ろす／止まり木
sue	訴える／告訴する
indispensable	不可欠な／なくてはならない
array	ずらりと並んだもの／配列／整列させる
aspire	切望する／強く望む
invariably	いつも／例外なく
subsequent	その後の／続いて起こる
furnished	家具付きの
boast	自慢する／誇りにする／自慢の種
privatize	民営化する
dominance	支配／優勢
envision	思い描く／想像する
probability	確率／見込み
selective	選択的な／えり好みする
discouraging	がっかりさせる／気をくじくような
faulty	欠陥のある／誤った
uproot	根こそぎにする／（人を）住み慣れた土地から追い立てる
memoir	回想録／自伝的記録
initiate	始める／入会させる・入門させる
dent	へこみ／へこませる／減少・損害
likeness	似ていること／肖像
idealistic	理想主義の
collaborate	共同で行う／協力する／共著する
erode	浸食する／徐々に弱める・損なう
amicable	友好的な／円満な
odor	におい（多くは悪臭）
reinforce	強化する／補強する
facilitate	容易にする／促進する
accumulate	蓄積する／積もる
duration	期間／継続時間
commemorate	記念する／祝う
submission	提出（物）／服従
observance	順守／遵守／（行事などの）執行
quote	引用する／見積もる／引用句・相場
rusty	さびついた／（技能などが）なまった
illiterate	読み書きのできない／無学な
cite	引用する／引き合いに出す
assure	保証する／確信させる／安心させる
testament	証拠／証し／遺言（書）
collide	衝突する／ぶつかる
annoyance	いら立ち／迷惑なもの・人
inventory	在庫／在庫一覧表
spotless	汚れ一つない／非常に清潔な
kinship	血縁関係／つながり・親近感
chronological	年代順の／時系列の
bleak	荒涼とした／希望のない・暗い
calamity	大災害／大惨事
clutter	散らかり／乱雑／散らかす
coincidence	偶然の一致／同時に起こること
knot	結び目／こぶ／難題・しこり
afflict	苦しめる／悩ます
formidable	手強い／恐るべき／圧倒されるような
paraphrase	言い換える／言い換え・意訳
remainder	残り／余り
converge	一つに集まる／収束する
admittedly	確かに／誰もが認めるように
traitor	裏切り者／反逆者
indisputable	議論の余地のない／明白な
overcast	曇った／どんよりした
preoccupied	頭がいっぱいで／気を取られている
ironic	皮肉な／逆説的な
ingenuity	創意工夫／独創性
endow	与える／寄付する／（才能などを）授ける
intervene	介入する／仲裁する
hospitality	もてなし／厚遇
uplifting	励みになる／心を高揚させる
synchronize	同時に起こるようにする／同期させる
censor	検閲官／検閲する
burglary	侵入盗／押し込み強盗
sizzle	ジュージュー音を立てる
prominence	目立つこと／卓越／突起
timid	臆病な／気の小さい
disclose	公表する／明らかにする
authorize	権限を与える／認可する
mock	あざ笑う／まねをしてからかう／偽の
preconceived	あらかじめ抱いた／先入観の
devour	むさぼり食う／（本などを）むさぼり読む
gush	どっと流れ出る／あふれ出るように話す
plague	疫病／悩みの種／悩ます・苦しめる
sob	すすり泣く／泣きじゃくる
unorthodox	型破りの／正統でない
malicious	悪意のある／意地の悪い
scrutiny	精査／綿密な調査
profess	公言する／〜であると称する
incomprehensible	理解不能な／わけのわからない
reap	刈り取る／（利益などを）得る
ample	豊富な／十分すぎるほどの
miscellaneous	種々雑多な／いろいろ混ざった
articulate	はっきり話す／明確に表現する／明瞭な
allocate	割り当てる／配分する
wag	（しっぽ・指などを）振る／（しっぽなどの）振り
remorseful	後悔している／自責の念にかられた
crave	切望する／渇望する
amenity	快適さ／生活を快適にする設備
evaporate	蒸発する／消えてなくなる
apprehension	不安・懸念／理解／逮捕
dip	ちょっと浸す／少し下がる／下落
excerpt	抜粋／引用
ordeal	厳しい試練／辛い体験
mourn	嘆き悲しむ／悼む
autopsy	検死／解剖
fury	激しい怒り／激しさ
abort	中止する／流産させる・流産する
pretext	口実／言い訳
recurrent	再発する／繰り返し起こる
folklore	民話／民間伝承
installment	分割払いの一回分／（連載・シリーズの）一回分
amendment	改正／修正（案）
conceited	うぬぼれた／自惚れの強い
intoxicated	酔った／有頂天になった
supernatural	超自然の／不可思議な
deception	だますこと／欺き
drastic	徹底的な／思い切った・過激な
inherent	本来備わっている／生まれつきの
ballot	投票／投票用紙
plea	嘆願／懇願／（法廷での）答弁・申し立て
loathe	ひどく嫌う／嫌悪する
secluded	人里離れた／隔離された
herald	先触れ／前触れ／告げる・予告する
paranoid	被害妄想的な／極端に疑り深い
shortfall	不足／不足額
integrity	高潔さ／誠実さ／完全性
fanatical	狂信的な／熱狂的な
defy	逆らう／無視する
arc	弧／弓形
debatable	議論の余地がある
rapidity	速さ／迅速さ
crumble	ぼろぼろに崩れる／崩す
pending	未決の／〜を待っている状態の
embark	乗り出す／（船・飛行機に）乗り込む
overpower	圧倒する／打ち負かす
breach	違反／破ること（契約・規則など）／裂け目
improper	不適切な／不作法な
superstition	迷信
entrepreneur	起業家
rational	理性的な／合理的な
disposable	使い捨ての／自由に使える
intelligible	理解できる／わかりやすい
applicable	適用できる／当てはまる
uproar	大騒ぎ／騒動
humanitarian	人道的な／人道主義者
upside	良い面／利点
intricate	複雑な／込み入った
endure	耐える／持ちこたえる
mobilize	動員する／（人を）駆り立てる
compatible	互換性のある／気が合う
flattery	お世辞／おべっか
concession	譲歩／認めること
glare	ぎらぎらする光／にらみつけること
abstain	（from）控える／棄権する
scanty	乏しい／わずかな
condensation	凝結／（文章などの）要約
haven	避難所／安息の地
assorted	より取り合わせた／いろいろ混ざった
preclude	妨げる／不可能にする
tolerable	耐えられる／我慢できる
yardstick	尺度／基準
mischievous	いたずら好きな／いたずらっぽい
bid	入札／試み／値をつける・入札する
cease	やむ／やめる・終える
persistent	しつこい／根強い／持続する
resignation	辞職／諦め・甘受
hypocritical	偽善的な
deserted	人けのない／見捨てられた
savage	野蛮な／どう猛な
confront	直面する／立ち向かう
shriek	悲鳴を上げる／金切り声をあげる
patriot	愛国者
reckless	無謀な／向こう見ずな
stingy	けちな
lament	嘆く／悲しむ／嘆き
ranger	レンジャー／森林警備隊員・管理官
arouse	呼び起こす／刺激する
foil	（計画などを）くじく／挫折させる
contaminate	汚染する／汚す
implication	含意／暗示／（好ましくない）影響・関与
stoically	じっと我慢して／平然と
conditional	条件付きの／条件次第の
archaic	古風な／古めかしい
ascertain	確かめる／突き止める
observant	観察力の鋭い／（規則などを）よく守る
rhetoric	美辞麗句／修辞（学）
cramp	けいれん／こむら返り／締め付ける
audible	聞こえる
resurgence	再起／復活
standstill	休止／行き詰まり／停止状態
immortality	不死／不滅
potent	強力な／効果の強い
inevitably	必然的に／避けられず
curfew	外出禁止令／門限
nominate	指名する／推薦する
depiction	描写／表現
deliberately	故意に／慎重に
remnant	残り／名残／残り物
precaution	予防策／用心
catastrophe	大惨事／大災害
intimidate	怖がらせる／脅す
sluggish	動きの鈍い／不活発な
mediator	仲介者／調停者
moderation	節度／適度
shrewd	抜け目のない／洞察力のある
loophole	抜け穴／逃げ道
poach	密猟する／（人材などを）引き抜く
insoluble	解けない／解決不能な
anecdote	逸話／小話
yearn	切望する／強くあこがれる
diligent	勤勉な／よく努力する
industrialize	工業化する
generalization	一般化／概括
idle	働いていない／怠けている／遊んでいる
forge	鍛造する／築き上げる／偽造する
intermittently	断続的に／とぎれとぎれに
constitute	構成する／〜とみなされる
inhospitable	（土地が）過酷な／もてなしの悪い
lure	おびき寄せる／誘惑する／誘惑（するもの）
traumatic	トラウマになる／精神的外傷を与える
discredit	信用を傷つける／疑いをかける
ambiguous	あいまいな／はっきりしない
autonomy	自治／自律
autobiography	自伝
contradictory	矛盾した／食い違う
roster	名簿／人員表
nauseous	吐き気のする／むかつく
coherent	首尾一貫した／筋の通った
quest	探求／追求
acute	鋭い／激しい／（病気が）急性の
exaggeration	誇張
ridicule	あざ笑う／嘲笑する／嘲り
bashful	恥ずかしがり屋の／内気な
familiarize	慣れさせる／親しませる
prone	〜しがちな／〜になりやすい
estimation	評価／見積もり／判断
avail	役に立つ／効用
compel	強いる／無理やり〜させる
indicative	示している／〜の表れである
receptive	受け入れの良い／感受性の強い
immerse	浸す／没頭させる
batch	一団／一括／一度分
verge	瀬戸際／境目／端（on the verge of〜
appreciative	ありがたく思う／鑑賞眼のある
conceal	隠す／隠蔽する
endorse	支持する／是認する／裏書きする／（商品を）推奨する
tragic	悲劇的な／痛ましい
harass	悩ます／嫌がらせをする
tender	優しい／柔らかい／（入札の）入札
feeble	弱々しい／かすかな
foster	育てる／育成する／里親の
magnify	拡大する／大げさに言う
testimony	証言／証拠
soak	浸す／びしょ濡れにする／染み込む
grant	与える／認める／助成金
boundary	境界（線）／限界
scatter	まき散らす／散らばる
overload	過重にする／負荷をかけすぎる
confine	閉じ込める／限定する
litter	ゴミ／ごみを散らかす
dispatch	派遣する／発送する／派遣・急送
arrogant	傲慢な／尊大な
awkward	気まずい／ぎこちない／不器用な
tame	飼いならされた／おとなしい／飼いならす
penetrate	貫く／入り込む／浸透する
suppress	抑える／鎮圧する／抑圧する
rigid	硬い／厳格な／柔軟性のない
disgrace	不名誉／恥／面目を失わせる
restrain	抑える／制止する
abolish	廃止する
friction	摩擦／不和
coarse	粗い／ざらざらした／下品な
cowardly	臆病な／卑怯な
petty	ささいな／器の小さい
detention	拘留／居残り（罰）
blunt	切れ味の鈍い／ぶっきらぼうな
vigorous	精力的な／活発な
pierce	突き刺す／穴をあける
revolt	反乱を起こす／むかつかせる
twist	ねじる／ひねる／ゆがめる
shelter	避難所／住まい／保護・避難させる
collapse	崩壊する／倒れる／崩す
pursue	追求する／追跡する
appliance	（家庭用の）器具／電化製品
imitate	まねる／模倣する
yield	産出する／屈する／譲る／収穫高
limitation	制限／限界
extensive	広範囲の／大規模な
radical	急進的な／根本的な
dismiss	解雇する／退ける・却下する
riot	暴動
exceed	超える／上回る
remodel	改造する／リフォームする
fierce	激しい／どう猛な
adolescent	思春期の／思春期の若者
component	構成要素／部品
suspicious	疑わしい／疑っている
herd	群れ／群れをなす
syndrome	症候群／一連の特徴
offensive	不快な／攻撃的な
outdated	時代遅れの
diminish	減る／減少させる
functional	機能的な／機能上の
bureau	局／事務所／官庁の部局
wreck	大破させる／難破させる／残骸・壊れたもの
sanctuary	聖域／保護区／避難所
impair	損なう／弱める
prompt	促す／即座の／きっかけ
bait	餌／おとり
mutual	相互の／共通の
diagram	図表／模式図
distress	苦悩／困窮／苦しめる／遭難
expel	追放する／退学処分にする／排出する
rotten	腐った／ひどく悪い
subtle	微妙な／巧妙な・分かりにくい
tentative	仮の／試験的な／ためらいがちな
defective	欠陥のある
legible	判読できる／読みやすい
propel	前進させる／推進する
pluck	引き抜く／むしり取る／勇気
evade	逃れる／避ける／ごまかす
slack	たるんだ／ゆるい／不活発な
glossary	用語集
grasp	しっかりつかむ／理解する／理解
junction	合流点／交差点／接続点
righteous	正しい／高潔な
hover	空中にとどまる／うろつく
decode	解読する／暗号を解く
encase	包み込む／覆う
victorious	勝利した／勝ち誇った
beggar	物乞い／乞食
drowsy	眠い／うとうとしている
strangle	絞め殺す／首を絞める／圧殺する
esteem	尊敬する／評価する／尊敬・評価
deflate	空気を抜く／しぼませる／意気消沈させる
dubious	疑わしい／怪しい／半信半疑の
texture	質感／手触り／（生地などの）きめ
tenant	借家人／入居者／地主から借りている人
declaration	宣言／申告
tease	からかう／いじめる（しつこくいじる）
tariff	関税／料金表
conquest	征服／勝ち取ること
denial	否定／拒否／拒絶
domain	領域／範囲／（インターネットの）ドメイン
simulate	模擬する／〜のふりをする
disarm	武装解除する／警戒心を解く
concise	簡潔な／要領を得た
mortal	死すべき／致命的な／人間
sequel	続編／続き
stumble	つまずく／よろける／口ごもる
gloomy	薄暗い／憂うつな／悲観的な
convert	変える／改宗させる／転換する
contract	契約／契約する／縮む・収縮する
assign	割り当てる／任命する／課す
harsh	厳しい／過酷な／（音・色が）きつい
procedure	手順／手続き
counter	反対する／対抗する／カウンター台
pose	ポーズをとる／（問題などを）引き起こす／〜を装う
barely	かろうじて／ほとんど〜ない
superior	優れた／上位の／上司
supplement	補う／補足する／サプリメント・付録
institution	機関／団体／制度
heritage	遺産／伝統
boom	好景気／ブーム／にわか人気／急成長する
relieve	和らげる／安心させる／軽減する
tuition	授業料／レッスン
invasion	侵入／侵攻／侵害
interfere	干渉する／邪魔をする
dispute	論争する／争う／論争・紛争
launch	開始する／打ち上げる／発売する
preference	好み／優先権
recall	思い出す／回収する／召還する
treaty	条約／協定
immediate	即座の／差し迫った／目の前の
sacrifice	犠牲／犠牲にする／いけにえ
interrupt	中断させる／さえぎる
authentic	本物の／信頼できる／本格的な
